VALUE,YEAR,AREA,FLOORS ,ROOMS,REMODEL
Low,1960,3,1,9,0
Low,1920,3,1.5,6,0
Low,1920,3,1,7,0
Low,1935,4,1,6,1
Low,1960,3,1,5,0
Low,1943,3,1.5,6,0
Low,1960,3,2,7,0
Low,1904,3,2,6,0
Low,1963,3,1,5,0
Low,1960,3,1,6,0
Low,1955,3,1,7,0
Low,1943,3,1.5,6,1
Low,1900,3,2,6,0
Low,1943,3,1.5,6,0
Low,1960,3,1,5,0
Low,1960,3,1.5,6,0
Low,1960,4,1.5,6,0
Low,1940,2,1,7,0
Low,1943,3,2,7,2
Low,1965,3,1,6,0
Low,1960,3,1,6,0
Low,1967,3,1.5,6,0
High,2007,3,2,7,0
Low,1904,3,1.5,6,0
Low,1960,2,2,5,0
Low,1953,3,1.5,6,1
Low,1963,3,1,7,0
Low,1960,3,1,8,0
Low,1962,2,2,5,0
Low,1920,3,1.5,6,0
Low,1955,3,1,5,0
Low,1969,4,1.5,5,0
Low,1954,3,1,6,0
Low,1953,3,1,6,0
Low,1940,3,1,6,0
Low,1965,3,1,7,0
Low,1920,2,2,6,0
Low,1910,2,1.5,4,2
Low,1964,3,1,8,0
Low,1960,3,1,7,0
Low,1960,3,1,7,2
Low,1904,3,2,8,0
Low,1960,3,1,5,0
Low,1965,3,1,6,0
Low,1960,3,1,7,0
Low,1963,3,1,6,0
Low,1960,2,1,6,0
Low,2001,3,2,7,0
Low,1960,3,1,6,0
Low,1963,3,1,7,0
Low,1960,3,1,7,0
Low,1942,4,1.5,7,2
Low,1964,3,1,5,0
Low,1943,3,1.5,7,2
Low,1965,3,1,7,1
Low,1960,3,2,7,0
High,1798,6,2,11,1
Low,1960,3,1,7,0
Low,1965,3,1,7,0
Low,1962,3,1,5,1
Low,1920,4,1.5,8,2
Low,1965,3,1,6,0
Low,1956,3,1,6,0
Low,1973,3,2,5,0
Low,1949,3,1,4,0
Low,1960,3,1,6,0
Low,1960,3,2,7,0
Low,1990,4,2,7,0
Low,1960,3,1,6,0
Low,1963,3,2,7,0
Low,1960,3,1,5,0
Low,1920,4,2,8,0
Low,1943,3,1.5,7,1
Low,1960,3,2,6,0
Low,1960,3,1,10,0
Low,1965,3,1,10,1
Low,1964,3,1.5,8,0
Low,1959,2,1,5,0
Low,1965,3,1,6,0
Low,1964,3,2,7,0
Low,1964,3,1,5,0
Low,1960,3,1,8,0
Low,1950,3,1.5,6,0
Low,1930,3,2,6,1
Low,1965,3,1,9,0
High,1994,3,1,6,0
Low,1965,3,1,7,0
Low,1967,3,1,8,2
Low,1964,3,1,5,0
Low,1933,3,2,7,0
Low,1964,4,1,7,0
Low,1960,3,1,6,0
Low,1965,3,1,5,2
Low,1960,3,1,5,0
Low,1940,4,1.5,7,0
Low,1960,3,1,9,0
High,2008,4,2.5,7,0
Low,1963,3,1.5,8,0
Low,1960,3,1,6,1
Low,1965,3,1,9,0
Low,1960,3,1,5,0
Low,1960,3,2,7,0
Low,1965,3,1,7,0
Low,1994,3,1,7,0
Low,1929,3,2,8,1
Low,1960,3,1,6,0
Low,1935,3,1,6,0
Low,1988,3,2,8,0
Low,1960,3,1,7,0
Low,1980,3,1,8,0
Low,1920,3,2,6,0
Low,1950,4,1.5,11,0
Low,1960,3,1.5,7,0
Low,1967,3,2,6,0
Low,1960,3,1,7,0
Low,1964,3,1.5,8,0
Low,1960,3,1.5,6,0
Low,1960,3,1,6,0
Low,1965,3,1,7,0
Low,1958,3,1.5,8,1
Low,1960,3,1,8,2
Low,1960,3,1,6,0
Low,1967,3,1,6,0
Low,1960,3,1,6,0
Low,1960,3,1,6,2
Low,1960,3,1.5,8,2
Low,1920,3,2,7,0
Low,1994,3,1,6,0
Low,1968,3,1,5,0
Low,1960,3,1,7,0
Low,1960,3,2,7,0
High,1991,4,1.5,7,0
Low,1969,3,1,8,0
Low,1960,3,1.5,7,0
Low,1960,3,1.5,6,0
Low,1963,3,1.5,6,0
Low,1960,3,1,6,2
Low,1967,3,1,6,1
Low,1960,3,1,6,0
Low,1960,3,1.5,4,0
Low,1965,3,1.5,7,0
Low,1912,2,1,5,0
Low,1972,3,1,5,0
Low,1914,4,1.5,7,0
High,1995,3,2,7,0
Low,1956,3,1,7,0
Low,1960,3,1,7,0
Low,1912,4,2,9,0
Low,1972,3,2,7,0
Low,1956,4,1.5,6,0
Low,1956,3,2,8,2
Low,1965,3,1,6,0
High,1995,3,2,7,0
Low,1960,3,1,8,0
Low,1960,3,1,6,0
Low,1950,3,1,6,1
Low,1960,3,1,6,0
Low,1965,3,1,10,0
Low,1965,3,1,8,0
Low,1920,3,2,7,0
Low,1965,3,1,7,0
Low,1967,3,1,7,0
Low,1960,3,1.5,6,0
Low,1965,3,1,7,0
Low,1957,3,1,5,0
Low,1963,3,1.5,7,0
Low,1963,3,1.5,6,0
Low,1960,3,1,8,0
Low,1959,3,2,7,0
High,1989,5,2,9,0
Low,1920,3,1.5,6,1
Low,1960,3,1,8,0
Low,1960,3,1,6,0
High,2005,4,2,8,0
Low,1960,3,1.5,7,0
Low,1963,4,1.5,6,0
Low,1967,3,1,9,0
Low,1964,2,1,6,0
Low,1968,3,1,6,0
Low,1968,3,1,5,0
Low,1965,3,1,7,0
Low,1910,4,2,7,2
Low,1965,3,1,7,0
High,1968,4,1,9,2
Low,1964,3,1,7,0
Low,1993,3,1,7,0
Low,1970,3,2,7,2
Low,1963,3,1.5,7,0
Low,1969,3,1,7,0
Low,1965,3,1,5,0
Low,1960,3,1.5,6,0
Low,1960,3,2,8,0
Low,1927,3,2,7,0
Low,1959,3,1,8,0
Low,1960,3,1.5,7,0
Low,1920,2,1.5,4,0
High,2011,5,2,7,2
Low,1966,3,1,7,2
Low,1957,3,1.5,6,0
Low,1920,3,2,7,0
High,2000,3,2,5,0
Low,1954,4,1.5,4,0
Low,1960,3,1,7,0
Low,1960,3,1,7,2
Low,1963,3,1.5,9,0
Low,1965,3,1,6,0
Low,1965,3,1,10,0
Low,1960,3,1,6,0
Low,1964,3,1,8,0
Low,1960,3,1.5,6,0
Low,1960,3,1.5,6,0
Low,1908,3,2,6,0
Low,1950,3,2,7,0
Low,1950,3,1,6,0
Low,1940,4,1,6,1
Low,1960,3,1,5,0
Low,1911,3,2,8,0
Low,1928,2,1.5,6,0
Low,1961,3,1.5,5,0
High,1966,5,1,12,0
Low,1963,3,1.5,4,0
Low,1920,3,1.5,5,0
Low,1920,2,1,5,0
Low,1924,3,1,5,0
Low,1960,3,1,6,0
Low,1960,3,1,6,0
Low,1960,3,2,6,0
Low,1965,3,1,7,0
Low,1989,3,2,8,0
Low,1972,3,2,7,0
Low,1920,3,2,6,0
Low,1966,3,1,7,0
High,1963,3,1.5,8,2
Low,1950,3,1,6,0
Low,1969,3,1.5,6,0
Low,1986,3,1.5,8,0
Low,1960,3,1,6,0
Low,1960,3,1,6,0
High,1984,4,2,7,1
Low,1914,3,2,6,1
Low,1950,3,2,6,1
Low,1912,2,1,5,1
High,1983,4,1,10,1
Low,1925,3,1.5,6,0
Low,1940,3,1,6,0
Low,1931,3,2,7,1
Low,1955,3,1.5,6,0
Low,1955,3,1,6,0
Low,1921,3,1,6,0
High,2011,5,2,8,2
Low,1958,3,1,6,0
Low,1960,3,2,7,0
Low,1923,3,1.5,6,0
Low,1955,3,1.5,6,0
Low,1923,3,1.5,6,2
Low,1956,3,1.5,6,0
Low,1960,4,1,6,0
Low,1960,4,1.5,6,0
Low,1925,3,2,6,0
Low,1984,3,2,6,0
Low,1925,4,1,7,0
Low,1984,3,2,6,0
Low,1915,2,2,5,0
Low,1964,3,2,6,0
Low,1960,4,1,6,0
Low,1957,3,1,6,0
High,1972,5,1,8,0
Low,1954,3,1.5,6,0
Low,1920,3,2,7,0
Low,1928,3,2,8,2
Low,1957,3,1,7,1
Low,1958,3,1.5,6,0
Low,1914,2,1,5,0
Low,1920,2,2,6,0
Low,1984,3,2,6,0
Low,1956,3,1,6,0
High,1986,4,1,9,2
Low,1953,4,1,10,0
Low,1960,3,1.5,6,0
Low,1984,3,2,6,0
Low,1960,4,1,6,0
Low,1920,3,1,7,2
Low,1960,3,1.5,5,0
Low,1958,3,1.5,6,0
Low,1943,3,1,6,0
Low,1958,3,1,6,0
Low,1925,3,1,5,1
Low,1953,3,1.5,6,0
High,1975,5,1,9,0
Low,1984,3,2,7,2
Low,1960,2,1,9,0
Low,1956,3,1,7,0
Low,1920,3,1,6,0
Low,1960,3,1,5,0
Low,1961,3,1,5,0
Low,1958,3,1.5,6,0
Low,1959,4,1,9,0
Low,1960,4,1.5,6,0
Low,1938,3,2,7,1
Low,1915,3,1.5,7,0
Low,1976,4,1,9,1
Low,1955,3,2,8,0
Low,1957,3,1.5,6,0
Low,1940,4,2,8,0
Low,1940,3,1,6,0
Low,1927,2,2,7,0
Low,1960,3,1.5,6,0
Low,1984,3,1.5,6,0
Low,1924,3,2,7,0
Low,1989,3,2,8,0
Low,1960,3,1.5,9,0
Low,1988,4,1,7,0
Low,1920,2,1,6,0
Low,1920,2,1.5,6,0
Low,1986,3,2,6,0
Low,1950,2,1,4,0
Low,1940,4,1,8,0
Low,1950,3,1.5,6,0
Low,1904,2,1.5,8,1
Low,1920,2,1.5,4,1
Low,1960,3,1.5,6,0
Low,1908,3,2,6,0
High,1961,6,1,7,0
Low,1989,3,2,7,0
Low,1918,2,1,3,2
High,1945,5,2,9,2
Low,1910,3,2,7,0
Low,1984,3,1.5,6,0
Low,1934,4,1.5,8,2
Low,1960,3,1,5,0
High,1987,6,2,10,2
High,1984,4,1,6,0
Low,1929,4,1,8,0
High,2004,4,2,7,0
Low,1980,3,1,6,0
High,2000,4,2,8,0
Low,1970,3,1,6,0
High,2000,4,2,7,0
Low,1925,3,2,7,0
Low,1914,3,2,7,0
Low,1975,4,1.5,6,0
Low,1910,4,1.5,6,0
Low,1912,4,1.5,7,0
Low,1960,3,1,7,0
Low,1945,2,2,6,0
Low,1920,2,1.5,6,0
Low,1933,3,2,6,0
Low,1959,3,2,6,0
Low,1930,2,1.5,5,0
Low,1987,3,2,6,1
Low,1908,3,2,7,0
Low,1920,4,2,8,0
Low,1950,3,1.5,6,0
Low,1927,3,2,6,0
High,1964,4,1,8,0
High,2009,6,2,9,0
Low,1970,3,2,7,0
Low,1960,3,1,5,0
Low,1953,4,1,6,0
Low,1920,3,2,6,0
Low,1956,3,1.5,6,0
Low,1950,3,1,5,2
Low,1960,2,2,6,0
High,1970,4,2,7,0
Low,1955,4,1.5,8,0
Low,1988,3,2,5,0
Low,1960,2,2,6,0
Low,1954,3,1,5,0
Low,1959,4,1.5,8,0
Low,1902,3,2,6,0
Low,1911,2,1,4,0
Low,1960,3,2,7,0
Low,1965,3,1,8,0
Low,1966,3,1,8,0
Low,1960,3,2,7,0
Low,1915,5,1,8,0
Low,1954,3,1.5,7,0
Low,1960,2,2,7,0
Low,1959,3,1,5,0
Low,1950,3,2,8,0
Low,1935,3,1.5,7,0
Low,1996,3,2,6,0
Low,1960,3,2,6,0
Low,1960,3,2,6,0
Low,1920,3,1,4,0
Low,1915,4,1.5,8,0
Low,1967,3,2,7,0
Low,1960,3,1,6,0
High,1955,4,1.5,7,2
Low,1950,3,2,9,0
Low,1915,2,2,7,0
Low,1950,3,1,5,0
Low,1970,2,2,6,0
Low,1960,3,1.5,6,2
Low,1920,4,2,6,1
Low,1988,3,2,7,0
Low,1955,3,1,7,0
Low,1910,4,2,7,0
Low,1956,3,1.5,6,0
Low,1960,2,2,7,0
Low,1960,2,2,9,0
Low,1930,4,1.5,8,0
Low,1956,3,1,5,0
Low,1926,3,1,5,0
Low,1960,3,1.5,8,0
Low,1926,4,2,8,1
Low,1922,3,2,7,0
High,1950,3,1.5,6,0
Low,1970,2,2,6,0
Low,1942,3,2,8,0
Low,1988,3,2,7,0
Low,1956,3,1.5,6,0
Low,1920,3,1.5,7,0
Low,1926,3,2,6,1
Low,1945,3,1.5,6,0
Low,1988,3,2,7,0
Low,1956,3,1.5,6,0
Low,1950,4,1,8,0
Low,1960,3,1,5,0
Low,1925,3,2,6,2
Low,1910,3,2,6,0
Low,1966,3,2,6,0
Low,1956,3,1.5,7,1
Low,1988,3,2,9,0
High,1914,4,2,7,2
Low,1956,3,1.5,5,0
Low,1960,5,1,7,0
Low,1952,2,1,6,0
Low,1956,3,1.5,6,0
Low,1988,4,2,8,0
Low,1960,3,1,6,0
Low,1956,3,1.5,6,0
Low,1954,3,1.5,6,0
Low,1945,3,1,7,0
Low,1960,3,1.5,6,0
Low,1988,3,2,6,0
Low,1956,3,1.5,6,0
Low,1960,3,1,6,0
Low,1950,4,1.5,6,0
High,1952,6,1,9,0
Low,1955,3,1.5,6,0
Low,1950,3,1.5,6,0
Low,1940,3,1.5,6,0
Low,1960,3,1.5,6,0
Low,1962,3,2,7,0
Low,1955,3,1.5,6,0
Low,1940,3,2,7,1
Low,1957,3,1.5,6,1
Low,1956,3,1.5,6,0
Low,1955,3,1.5,7,0
Low,1910,3,1.5,7,2
Low,1896,3,1.5,8,0
Low,1956,3,1.5,6,0
Low,1950,2,1,5,0
High,1940,5,2,9,2
Low,1960,4,1.5,7,0
Low,1950,3,1,7,0
Low,1960,3,1,5,0
Low,1955,3,1,5,0
Low,1958,3,1,6,0
Low,1945,2,1,4,0
Low,1920,4,1,6,1
Low,1956,3,1.5,6,0
Low,1920,3,1,5,0
Low,1920,3,2,4,0
Low,1960,2,1,5,0
High,1955,4,1.5,8,1
Low,1950,2,1,7,0
Low,1960,3,1,5,0
Low,1950,4,1,6,0
Low,1940,3,1,5,0
High,1960,3,1.5,7,0
Low,1954,3,1.5,6,0
Low,1950,3,1,8,0
Low,1945,4,1,6,1
Low,1952,3,1,5,0
Low,1912,3,2,6,0
Low,1955,3,1,5,0
Low,1940,2,1,4,0
Low,1924,3,2,6,0
High,1963,4,1,8,2
Low,1940,2,1,4,0
Low,1926,5,2,7,1
Low,1950,3,1,5,0
Low,1925,3,1,5,1
Low,1959,2,1,5,1
Low,1950,3,1.5,5,1
Low,1965,3,2,6,0
Low,1940,3,2,7,2
Low,1950,3,1,6,0
Low,1916,3,1,5,0
Low,1965,2,2,5,0
Low,1930,3,1.5,6,1
Low,1950,3,1,7,0
Low,1960,3,1,7,0
Low,1956,3,1,7,0
Low,1945,4,1.5,6,0
Low,1951,2,1.5,5,1
